nom,adresse,code_postal
SG GRAND EST,"11 RUE CRISTALLERIES, 54120 BACCARAT",54120
SG GRAND EST,"54 AV FOCH, 54270 ESSEY LES NANCY",54270
SG GRAND EST,"22 RUE DE METZ, 54390 FROUARD",54390
SG GRAND EST,"GAL MARCHANDE CARREFOUR, 54180 HOUDEMONT",54180
SG GRAND EST,"9 RUE GAMBETTA, 54800 JARNY",54800
SG GRAND EST,"3 RUE MARGAINE, 54400 LONGWY",54400
SG GRAND EST,"4 RUE CARNOT, 54300 LUNEVILLE",54300
SG GRAND EST,"44 RUE SAINT-DIZIER, 54000 NANCY",54000
SG GRAND EST,"248 AV DE STRASBOURG, 54000 NANCY",54000
SG GRAND EST,"28 CRS LEOPOLD, 54000 NANCY",54000
SG GRAND EST,"1 RUE DE TURIQUE, 54000 NANCY",54000
SG GRAND EST,"28 RUE VICTOR HUGO, 54700 PONT A MOUSSON",54700
SG GRAND EST,"98 AV CARNOT, 54130 ST MAX",54130
SG GRAND EST,"1 RUE CHANZY, 54200 TOUL",54200
SG GRAND EST,"10 RUE LEON WINSBACH, 54150 VAL DE BRIEY",54150
SG GRAND EST,"AV LECLERC C.C MONTET, 54500 VANDOEUVRE LES NANCY",54500
SG GRAND EST,"20 BD DE BAUDRICOURT, 54600 VILLERS LES NANCY",54600
SG GRAND EST,"8 PL JEANNE D'ARC, 54190 VILLERUPT",54190
