nom,adresse,code_postal
SG GRAND OUEST,"43 AV DE L'OCEAN, 56400 AURAY",56400
SG GRAND OUEST,"37 R SAINT CYR, 56380 GUER",56380
SG GRAND OUEST,"4 B RUE DU PUITS, 56520 GUIDEL",56520
SG GRAND OUEST,"10 PL MARECHAL FOCH, 56700 HENNEBONT",56700
SG GRAND OUEST,"160 RUE JEAN JAURES, 56600 LANESTER",56600
SG GRAND OUEST,"1 RUE DES 4 FRERES LEROY QUERET, 56260 LARMOR PLAGE",56260
SG GRAND OUEST,"10 RUE ASS.NATIONALE, 56100 LORIENT",56100
SG GRAND OUEST,"PL FALQUERHO, 56270 PLOEMEUR",56270
SG GRAND OUEST,"PL DU TRIBUNAL, 56800 PLOERMEL",56800
SG GRAND OUEST,"29 RUE NATIONALE, 56300 PONTIVY",56300
SG GRAND OUEST,"21 PL HOCHE, 56170 QUIBERON",56170
SG GRAND OUEST,"49 R DU PERE COUDRIN, 56370 SARZEAU",56370
SG GRAND OUEST,"15 RTE DE NANTES, 56860 SENE",56860
SG GRAND OUEST,"25 RUE THIERS, 56000 VANNES",56000
SG GRAND OUEST,"110 AV DE LA MARNE, 56000 VANNES",56000
SG GRAND OUEST,"181 AV DU 04 AOUT, 56000 VANNES",56000
