nom,adresse,code_postal
SG SOCIETE GENERALE,"29 BD HAUSSMANN, 75009 PARIS",75009
SG SOCIETE GENERALE,"17 RUE SARRETTE, 75014 PARIS",75014
SG SOCIETE GENERALE,"144 BD DE CHARONNE, 75020 PARIS",75020
SG SOCIETE GENERALE,"8 AV PRESIDENT WILSON, 75116 PARIS",75116
SG SOCIETE GENERALE,"28 RUE D'ASSAS, 75006 PARIS",75006
SG SOCIETE GENERALE,"118 RUE LA FONTAINE, 75016 PARIS",75016
SG SOCIETE GENERALE,"8 RUE DU BAC, 75007 PARIS",75007
SG SOCIETE GENERALE,"5 RUE SAINT-ANTOINE, 75004 PARIS",75004
SG SOCIETE GENERALE,"68 RUE LEGENDRE, 75017 PARIS",75017
SG SOCIETE GENERALE,"17 AV SAINT MANDE, 75012 PARIS",75012
SG SOCIETE GENERALE,"3 RUE REBEVAL, 75019 PARIS",75019
SG SOCIETE GENERALE,"27 BD DE GRENELLE, 75015 PARIS",75015
SG SOCIETE GENERALE,"9 BD DES ITALIENS, 75002 PARIS",75002
SG SOCIETE GENERALE,"64 RUE BONAPARTE, 75006 PARIS",75006
SG SOCIETE GENERALE,"1 RUE DE MOUZAIA, 75019 PARIS",75019
SG SOCIETE GENERALE,"17 RUE BOULAINVILLIERS, 75016 PARIS",75016
SG SOCIETE GENERALE,"134 RUE REAUMUR, 75002 PARIS",75002
SG SOCIETE GENERALE,"78 AV DE BRETEUIL, 75015 PARIS",75015
SG SOCIETE GENERALE,"63 RUE DAUPHINE, 75006 PARIS",75006
SG SOCIETE GENERALE,"4 PL COLONEL BOURGOIN, 75012 PARIS",75012
SG SOCIETE GENERALE,"91 AV CHAMPS ELYSEES, 75008 PARIS",75008
SG SOCIETE GENERALE,"5 PL CHARLES MICHELS, 75015 PARIS",75015
SG SOCIETE GENERALE,"166 BD VOLTAIRE, 75011 PARIS",75011
SG SOCIETE GENERALE,"24 RUE CLEMENT MAROT, 75008 PARIS",75008
SG SOCIETE GENERALE,"1 RUE TURGOT, 75009 PARIS",75009
SG SOCIETE GENERALE,"189 RUE CONVENTION, 75015 PARIS",75015
SG SOCIETE GENERALE,"78 RUE DE LA TOUR, 75116 PARIS",75116
SG SOCIETE GENERALE,"91 AV DE WAGRAM, 75017 PARIS",75017
SG SOCIETE GENERALE,"61 RUE CUSTINE, 75018 PARIS",75018
SG SOCIETE GENERALE,"197 AV DAUMESNIL, 75012 PARIS",75012
SG SOCIETE GENERALE,"5 AV DU GAL LECLERC, 75014 PARIS",75014
SG SOCIETE GENERALE,"6 RUE DE LYON, 75012 PARIS",75012
SG SOCIETE GENERALE,"131 RUE DE SEVRES, 75006 PARIS",75006
SG SOCIETE GENERALE,"40 AV MOTTE PICQUET, 75007 PARIS",75007
SG SOCIETE GENERALE,"100 AV DE CLICHY, 75017 PARIS",75017
SG SOCIETE GENERALE,"26 PL ETIENNE PERNET, 75015 PARIS",75015
SG SOCIETE GENERALE,"96 RUE DU ROCHER, 75008 PARIS",75008
SG SOCIETE GENERALE,"86 AV DE FLANDRE, 75019 PARIS",75019
SG SOCIETE GENERALE,"136 AV DE MALAKOFF, 75116 PARIS",75116
SG SOCIETE GENERALE,"PALAIS DE L'UNESCO, 75007 PARIS",75007
SG SOCIETE GENERALE,"1 AV DE FRIEDLAND, 75008 PARIS",75008
SG SOCIETE GENERALE,"73 AV DU MAINE, 75014 PARIS",75014
SG SOCIETE GENERALE,"5 PL GAMBETTA, 75020 PARIS",75020
SG SOCIETE GENERALE,"68 BD DE STRASBOURG, 75010 PARIS",75010
SG SOCIETE GENERALE,"38 RUE GAY LUSSAC, 75005 PARIS",75005
SG SOCIETE GENERALE,"87 RUE DE GERGOVIE, 75014 PARIS",75014
SG SOCIETE GENERALE,"26 AV DES GOBELINS, 75013 PARIS",75013
SG SOCIETE GENERALE,"47 BD GOUVION ST-CYR, 75017 PARIS",75017
SG SOCIETE GENERALE,"39 RUE DU COMMERCE, 75015 PARIS",75015
SG SOCIETE GENERALE,"180 RUE DE GRENELLE, 75007 PARIS",75007
SG SOCIETE GENERALE,"79 AV DE ST-OUEN, 75017 PARIS",75017
SG SOCIETE GENERALE,"PL JACQUES ROUCHE, 75009 PARIS",75009
SG SOCIETE GENERALE,"172 AV VICTOR HUGO, 75116 PARIS",75116
SG SOCIETE GENERALE,"14 RUE DES DEUX PONTS, 75004 PARIS",75004
SG SOCIETE GENERALE,"50 RUE D ANJOU, 75008 PARIS",75008
SG SOCIETE GENERALE,"36 RUE DE BOURGOGNE, 75007 PARIS",75007
SG SOCIETE GENERALE,"19 AV D'ITALIE, 75013 PARIS",75013
SG SOCIETE GENERALE,"55 RUE JEANNE D ARC, 75013 PARIS",75013
SG SOCIETE GENERALE,"165-167 RUE DE BELLEVILLE, 75019 PARIS",75019
SG SOCIETE GENERALE,"6 RUE DU POTEAU, 75018 PARIS",75018
SG SOCIETE GENERALE,"43 AV KLEBER, 75116 PARIS",75116
SG SOCIETE GENERALE,"14 RUE DE LA CHAPELLE, 75018 PARIS",75018
SG SOCIETE GENERALE,"198 AV JEAN JAURES, 75019 PARIS",75019
SG SOCIETE GENERALE,"59 RUE LA CONVENTION, 75015 PARIS",75015
SG SOCIETE GENERALE,"12 AV DE LAUMIERE, 75019 PARIS",75019
SG SOCIETE GENERALE,"98 RUE LECOURBE, 75015 PARIS",75015
SG SOCIETE GENERALE,"5 RUE J. DE MAISTRE, 75018 PARIS",75018
SG SOCIETE GENERALE,"23 BD ST. GERMAIN, 75005 PARIS",75005
SG SOCIETE GENERALE,"235 RUE FBG. ST-MARTIN, 75010 PARIS",75010
SG SOCIETE GENERALE,"106 AV F. FAURE, 75015 PARIS",75015
SG SOCIETE GENERALE,"15 B RUE DU LOUVRE, 75001 PARIS",75001
SG SOCIETE GENERALE,"21 RUE DE VAUGIRARD, 75006 PARIS",75006
SG SOCIETE GENERALE,"11 BD MALESHERBES, 75008 PARIS",75008
SG SOCIETE GENERALE,"166 AV DU MAINE, 75014 PARIS",75014
SG SOCIETE GENERALE,"136 BD MALESHERBES, 75017 PARIS",75017
SG SOCIETE GENERALE,"46 AV S BOLIVAR, 75019 PARIS",75019
SG SOCIETE GENERALE,"69 RUE DES PYRENEES, 75020 PARIS",75020
SG SOCIETE GENERALE,"32 RUE DES ARCHIVES, 75004 PARIS",75004
SG SOCIETE GENERALE,"76 B BD BARBES, 75018 PARIS",75018
SG SOCIETE GENERALE,"13 PL DE VENETIE, 75013 PARIS",75013
SG SOCIETE GENERALE,"113 BD HAUSSMANN, 75008 PARIS",75008
SG SOCIETE GENERALE,"1A7 RUE DE REMUSAT, 75016 PARIS",75016
SG SOCIETE GENERALE,"51 RUE MOLITOR, 75016 PARIS",75016
SG SOCIETE GENERALE,"83 RUE MONGE, 75005 PARIS",75005
SG SOCIETE GENERALE,"89 RUE DE CLICHY, 75009 PARIS",75009
SG SOCIETE GENERALE,"19 RUE PETITS CARREAUX, 75002 PARIS",75002
SG SOCIETE GENERALE,"52 AV MOTTE PICQUET, 75015 PARIS",75015
SG SOCIETE GENERALE,"5 PL DE LA NATION, 75011 PARIS",75011
SG SOCIETE GENERALE,"1 RUE SAINT-LAZARE, 75009 PARIS",75009
SG SOCIETE GENERALE,"26 RUE DE PASSY, 75016 PARIS",75016
SG SOCIETE GENERALE,"40 AV NIEL, 75017 PARIS",75017
SG SOCIETE GENERALE,"101 AV P.AUGUSTE, 75011 PARIS",75011
SG SOCIETE GENERALE,"53 RUE DES MORILLONS, 75015 PARIS",75015
SG SOCIETE GENERALE,"76 RUE DE COURCELLES, 75008 PARIS",75008
SG SOCIETE GENERALE,"93 AV PAUL DOUMER, 75116 PARIS",75116
SG SOCIETE GENERALE,"52 BD PASTEUR, 75015 PARIS",75015
SG SOCIETE GENERALE,"45 RUE DE TOLBIAC, 75013 PARIS",75013
SG SOCIETE GENERALE,"22 T RUE LEGENDRE, 75017 PARIS",75017
SG SOCIETE GENERALE,"112 AV DE VILLIERS, 75017 PARIS",75017
SG SOCIETE GENERALE,"16 RUE DU PONT NEUF, 75001 PARIS",75001
SG SOCIETE GENERALE,"148 BD DU MONTPARNASSE, 75014 PARIS",75014
SG SOCIETE GENERALE,"28 RUE MORERE, 75014 PARIS",75014
SG SOCIETE GENERALE,"1 PL PTE DE VANVES, 75014 PARIS",75014
SG SOCIETE GENERALE,"2 BD DE STRASBOURG, 75010 PARIS",75010
SG SOCIETE GENERALE,"166 BD DAVOUT, 75020 PARIS",75020
SG SOCIETE GENERALE,"21 RUE GUDIN, 75016 PARIS",75016
SG SOCIETE GENERALE,"360 RUE DES PYRENEES, 75020 PARIS",75020
SG SOCIETE GENERALE,"118 RUE FBG ST-ANTOINE, 75012 PARIS",75012
SG SOCIETE GENERALE,"28 RUE DU DOCTEUR BLANCHE, 75016 PARIS",75016
SG SOCIETE GENERALE,"205 RUE DU TEMPLE, 75003 PARIS",75003
SG SOCIETE GENERALE,"24 BD BARBES, 75018 PARIS",75018
SG SOCIETE GENERALE,"96 AV GAL MICHEL BIZOT, 75012 PARIS",75012
SG SOCIETE GENERALE,"146 RUE DE LA TOUR, 75016 PARIS",75016
SG SOCIETE GENERALE,"148 RUE DE RENNES, 75006 PARIS",75006
SG SOCIETE GENERALE,"45 AV DE LA REPUBLIQUE, 75011 PARIS",75011
SG SOCIETE GENERALE,"22/24 AV SECRETAN, 75019 PARIS",75019
SG SOCIETE GENERALE,"27 BD SAINT-MICHEL, 75005 PARIS",75005
SG SOCIETE GENERALE,"71 BD VOLTAIRE, 75011 PARIS",75011
