nom,adresse,code_postal
SG CREDIT DU NORD,"1 AV VAUBAN, 62120 AIRE SUR LA LYS",62120
SG CREDIT DU NORD,"PLACE D ARMES, 62610 ARDRES",62610
SG CREDIT DU NORD,"64 RUE GAMBETTA, 62000 ARRAS",62000
SG CREDIT DU NORD,"21 PL JULES GUESDE, 62260 AUCHEL",62260
SG CREDIT DU NORD,"9 PL SADI CARNOT, 62450 BAPAUME",62450
SG CREDIT DU NORD,"16 RUE DE L'IMPERATRICE, 62600 BERCK",62600
SG CREDIT DU NORD,"32 GRAND PLACE, 62400 BETHUNE",62400
SG CREDIT DU NORD,"37 RUE FAIDHERBE, 62200 BOULOGNE SUR MER",62200
SG CREDIT DU NORD,"111 RUE ALFRED LEROY, 62700 BRUAY LA BUISSIERE",62700
SG CREDIT DU NORD,"73/75 BOULEVARD JACQUARD, 62100 CALAIS",62100
SG CREDIT DU NORD,"88 RUE EDOUARD PLACHEZ, 62220 CARVIN",62220
SG CREDIT DU NORD,"1 BD BILLIET, 62630 ETAPLES",62630
SG CREDIT DU NORD,"1 RUE DU MAL LECLERC, 62310 FRUGES",62310
SG CREDIT DU NORD,"7 RUE ELIE GRUYELLE, 62110 HENIN BEAUMONT",62110
SG CREDIT DU NORD,"12 RUE DANIEL LEROEUIL, 62140 HESDIN",62140
SG CREDIT DU NORD,"78 RUE DE METZ, 62520 LE TOUQUET PARIS PLAGE",62520
SG CREDIT DU NORD,"14 PL JEAN JAURES, 62300 LENS",62300
SG CREDIT DU NORD,"154 RUE DEFERNEZ, 62800 LIEVIN",62800
SG CREDIT DU NORD,"26 PL ROGER SALENGRO, 62190 LILLERS",62190
SG CREDIT DU NORD,"24 RUE DU DR BRONCQUART, 62380 LUMBRES",62380
SG CREDIT DU NORD,"37 PL DU GAL DE GAULLE, 62170 MONTREUIL SUR MER",62170
SG CREDIT DU NORD,"191 RUE NATIONALE, 62290 NOEUX LES MINES",62290
SG CREDIT DU NORD,"85 T BD DE LA LIBERTE, 62230 OUTREAU",62230
SG CREDIT DU NORD,"91 RUE CARNOT, 62500 ST OMER",62500
SG CREDIT DU NORD,"2 RUE DES FERRONNIERS, 62130 ST POL SUR TERNOISE",62130
SG CREDIT DU NORD,"17 B RUE DU FAUBOURG, 62350 ST VENANT",62350
SG CREDIT DU NORD,"22 RUE GRANDE CHAPELLE, 62490 VITRY EN ARTOIS",62490
SG CREDIT DU NORD,"87 PL DU GENERAL LECLERC, 62930 WIMEREUX",62930
