nom,adresse,code_postal
SG SUD OUEST,"12 RUE AMEDEE DUFOURG, 64600 ANGLET",64600
SG SUD OUEST,"11 BIS PL DU GENERAL LECLERC, 64600 ANGLET",64600
SG SUD OUEST,"2 AV DU 11 NOVEMBRE, 64100 BAYONNE",64100
SG SUD OUEST,"37 BD ALSACE LORRAINE, 64100 BAYONNE",64100
SG SUD OUEST,"14 PL CLEMENCEAU, 64200 BIARRITZ",64200
SG SUD OUEST,"AV DU PLATEAU, 64210 BIDART",64210
SG SUD OUEST,"PLACE DE L'EGLISE, 64250 CAMBO LES BAINS",64250
SG SUD OUEST,"82 RTE DE BEHOBIE, 64700 HENDAYE",64700
SG SUD OUEST,"6 B AV SANTOS DUMONT, 64230 LESCAR",64230
SG SUD OUEST,"11 PL P. ET M. CURIE, 64150 MOURENX",64150
SG SUD OUEST,"2 ALL CHANZY, 64800 NAY",64800
SG SUD OUEST,"13 PLACE DE JACA, 64400 OLORON STE MARIE",64400
SG SUD OUEST,"63 RUE ST-GILLES, 64300 ORTHEZ",64300
SG SUD OUEST,"11 BIS RUE LOUIS BARTHOU, 64000 PAU",64000
SG SUD OUEST,"25 T RUE CARNOT, 64000 PAU",64000
SG SUD OUEST,"150 AV ALFRED NOBEL, 64000 PAU",64000
SG SUD OUEST,"11 AV DU GENERAL DE GAULLE, 64000 PAU",64000
SG SUD OUEST,"AV DE L'UNIVERSITE, 64000 PAU",64000
SG SUD OUEST,"9 BD VICTOR HUGO, 64500 ST JEAN DE LUZ",64500
SG SUD OUEST,"PL JEANNE D'ALBRET, 64270 SALIES DE BEARN",64270
SG SUD OUEST,"1 PL GILBERT DESPORT, 64990 ST PIERRE D IRUBE",64990
SG SUD OUEST,"R DU LAVOIR, 64480 USTARITZ",64480
