nom,adresse,code_postal
SG LAYDERNIER,"12 PL CARNOT, 73100 AIX LES BAINS",73100
SG LAYDERNIER,"84 RUE LA REPUBLIQUE, 73200 ALBERTVILLE",73200
SG LAYDERNIER,"35 AV DU CENTENAIRE, 73700 BOURG ST MAURICE",73700
SG LAYDERNIER,"1265 AV DE CHAMBERY, 73190 CHALLES LES EAUX",73190
SG LAYDERNIER,"10 BD DE LA COLONNE, 73000 CHAMBERY",73000
SG LAYDERNIER,"267 AV DU COMTE VERT, 73000 CHAMBERY",73000
SG LAYDERNIER,"244 AV COSTA DE BEAUREGARD, 73290 LA MOTTE SERVOLEX",73290
SG LAYDERNIER,"10 RUE DU BOIS DE LEYSSE, 73490 LA RAVOIRE",73490
SG LAYDERNIER,"132 AV DE LA GARE, 73600 MOUTIERS TARENTAISE",73600
SG LAYDERNIER,"123 RUE LA LIBERATION, 73300 ST JEAN DE MAURIENNE",73300
