nom,adresse,code_postal
SG GRAND OUEST,"1 RUE JACQUES GALLEMAND, 76390 AUMALE",76390
SG GRAND OUEST,"26 RUE L. LESEIGNEUR, 76360 BARENTIN",76360
SG CREDIT DU NORD,"38 GRANDE RUE F. MITTERRAND, 76340 BLANGY SUR BRESLE",76340
SG GRAND OUEST,"142 RUE DE LA REPUBLIQUE, 76230 BOIS-GUILLAUME",76230
SG GRAND OUEST,"4 PL CHARLES DE GAULLE, 76210 BOLBEC",76210
SG GRAND OUEST,"53 RUE SADI CARNOT, 76160 DARNETAL",76160
SG GRAND OUEST,"2 RUE SAINT JEAN, 76200 DIEPPE",76200
SG GRAND OUEST,"29 B RUE HENRY, 76500 ELBEUF",76500
SG CREDIT DU NORD,"2 PL GUILLAUME LE CONQUERANT, 76260 EU",76260
SG GRAND OUEST,"23 PL CH.DE GAULLE, 76400 FECAMP",76400
SG CREDIT DU NORD,"1 PL DE LA REPUBLIQUE, 76440 FORGES LES EAUX",76440
SG GRAND OUEST,"6 RUE JEAN PREVOST, 76110 GODERVILLE",76110
SG CREDIT DU NORD,"12 PL DE LA LIBERATION, 76220 GOURNAY EN BRAY",76220
SG GRAND OUEST,"2 PL VICTOR HUGO, 76700 HARFLEUR",76700
SG GRAND OUEST,"14 AV JF. KENNEDY, 76120 LE GRAND QUEVILLY",76120
SG GRAND OUEST,"2 PL LEON MEYER, 76600 LE HAVRE",76600
SG GRAND OUEST,"16 RUE DU GENERAL MANGIN, 76620 LE HAVRE",76620
SG GRAND OUEST,"231 AV DU 8 MAI 1945, 76610 LE HAVRE",76610
SG GRAND OUEST,"77 BD DE STRASBOURG, 76600 LE HAVRE",76600
SG GRAND OUEST,"202 RUE DE VERDUN, 76600 LE HAVRE",76600
SG GRAND OUEST,"27 PL JENNER, 76620 LE HAVRE",76620
SG GRAND OUEST,"52 RUE BERNARDIN DE ST PIERRE, 76600 LE HAVRE",76600
SG GRAND OUEST,"PL THIERS, 76600 LE HAVRE",76600
SG GRAND OUEST,"17 RUE ROMAIN ROLLAND, 76620 LE HAVRE",76620
SG GRAND OUEST,"98 RTE DE PARIS, 76240 LE MESNIL ESNARD",76240
SG GRAND OUEST,"1 BD DELATTRE TASSIGNY, 76170 LILLEBONNE",76170
SG GRAND OUEST,"33 PL RENE COTY, 76810 LUNERAY",76810
SG GRAND OUEST,"PL JEAN JAURES, 76150 MAROMME",76150
SG GRAND OUEST,"43 RUE JACQUES BOUTROLLE, 76130 MONT ST AIGNAN",76130
SG GRAND OUEST,"33 RUE GAMBETTA, 76290 MONTIVILLIERS",76290
SG GRAND OUEST,"24 PL DE LA REPUBLIQUE, 76710 MONTVILLE",76710
SG GRAND OUEST,"2 GR ST JACQUES, 76270 NEUFCHATEL EN BRAY",76270
SG GRAND OUEST,"RUE DU MARECHAL FOCH, 76350 OISSEL",76350
SG GRAND OUEST,"31 RUE JEAN MAILLARD, 76570 PAVILLY",76570
SG GRAND OUEST,"21 AV JEAN JAURES, 76140 LE PETIT QUEVILLY",76140
SG GRAND OUEST,"RUE DE LA REPUBLIQUE, 76330 PORT JEROME SUR SEINE",76330
SG GRAND OUEST,"2493 RTE DE NEUFCHATEL, 76230 QUINCAMPOIX",76230
SG GRAND OUEST,"6 RUE DE LA POISSONNERIE, 76490 RIVES EN SEINE",76490
SG GRAND OUEST,"34 RUE JEANNE D'ARC, 76000 ROUEN",76000
SG GRAND OUEST,"106 RUE JEANNE D'ARC, 76000 ROUEN",76000
SG GRAND OUEST,"2 RUE DU GRAND PONT, 76000 ROUEN",76000
SG GRAND OUEST,"122 RUE SAINT-SEVER, 76100 ROUEN",76100
SG GRAND OUEST,"10 PL SAINT-MARC, 76000 ROUEN",76000
SG GRAND OUEST,"79 PL DE LA LIBERATION, 76510 ST NICOLAS D ALIERMONT",76510
SG GRAND OUEST,"16 PL THEODULE BENOIST, 76430 ST ROMAIN DE COLBOSC",76430
SG GRAND OUEST,"17 PL DE LA CHAPELLE, 76460 ST VALERY EN CAUX",76460
SG GRAND OUEST,"100 RUE GENERAL DEGAULLE, 76310 STE ADRESSE",76310
SG GRAND OUEST,"1 PL DE L'HOTEL DE VILLE, 76300 SOTTEVILLE LES ROUEN",76300
SG GRAND OUEST,"12 RUE CAMILLE ST SAENS, 76190 YVETOT",76190
