nom,adresse,code_postal
SG SOCIETE GENERALE,"16 AV DE LA REPUBLIQUE, 93300 AUBERVILLIERS",93300
SG SOCIETE GENERALE,"19 BD DE STRASBOURG, 93600 AULNAY SOUS BOIS",93600
SG SOCIETE GENERALE,"19 RUE JACQUES-DUCLOS, 93600 AULNAY SOUS BOIS",93600
SG SOCIETE GENERALE,"1 PROMENADE JEAN ROSTAND, 93000 BOBIGNY",93000
SG SOCIETE GENERALE,"29 B RUE AUGUSTE POLLISSARD, 93140 BONDY",93140
SG SOCIETE GENERALE,"10 AV H.BARBUSSE, 93700 DRANCY",93700
SG SOCIETE GENERALE,"55 RUE DE PARIS, 93800 EPINAY SUR SEINE",93800
SG SOCIETE GENERALE,"8 RUE HENRI BARBUSSE, 93220 GAGNY",93220
SG SOCIETE GENERALE,"8 AV PAUL DOUMER, 93460 GOURNAY SUR MARNE",93460
SG SOCIETE GENERALE,"59 AV P.V. COUTURIER, 93120 LA COURNEUVE",93120
SG SOCIETE GENERALE,"20 AV P ET M CURIE, 93150 LE BLANC MESNIL",93150
SG SOCIETE GENERALE,"81 AV DE LA DIVISION LECLERC, 93350 LE BOURGET",93350
SG SOCIETE GENERALE,"32 AV LA RESISTANCE, 93340 LE RAINCY",93340
SG SOCIETE GENERALE,"48 RUE DE PARIS, 93260 LES LILAS",93260
SG SOCIETE GENERALE,"15 AV DU CONSUL DU GAL NORDLIN, 93190 LIVRY GARGAN",93190
SG SOCIETE GENERALE,"56 RUE HENRI BARBUSSE, 93370 MONTFERMEIL",93370
SG SOCIETE GENERALE,"119 BD DE LA BOISSIERE, 93100 MONTREUIL",93100
SG SOCIETE GENERALE,"32 BD P.V. COUTURIER, 93100 MONTREUIL",93100
SG SOCIETE GENERALE,"2 AV PAUL LANGEVIN, 93100 MONTREUIL",93100
SG SOCIETE GENERALE,"CENTRE CIAL FAUVETTES, 93330 NEUILLY SUR MARNE",93330
SG SOCIETE GENERALE,"14 RUE GAL DE GAULLE, 93360 NEUILLY PLAISANCE",93360
SG SOCIETE GENERALE,"71 AV MEDERIC, 93160 NOISY LE GRAND",93160
SG SOCIETE GENERALE,"14 RUE JEAN JAURES, 93130 NOISY LE SEC",93130
SG SOCIETE GENERALE,"19 AV EMILE COSSONNEAU, 93160 NOISY LE GRAND",93160
SG SOCIETE GENERALE,"42 AV ARISTIDE BRIAND, 93160 NOISY LE GRAND",93160
SG SOCIETE GENERALE,"65 AV JEAN LOLIVE, 93500 PANTIN",93500
SG SOCIETE GENERALE,"153 AV J. LOLIVE, 93500 PANTIN",93500
SG SOCIETE GENERALE,"56 AV VICTOR HUGO, 93320 LES PAVILLONS SOUS BOIS",93320
SG SOCIETE GENERALE,"4 PL DE LA LIBERATION, 93380 PIERREFITTE SUR SEINE",93380
SG SOCIETE GENERALE,"95 RUE DE LA REPUBLIQUE, 93230 ROMAINVILLE",93230
SG SOCIETE GENERALE,"7 RUE GENERAL GALLIENI, 93110 ROSNY SOUS BOIS",93110
SG SOCIETE GENERALE,"11 PL JEAN JAURES, 93200 ST DENIS",93200
SG SOCIETE GENERALE,"26 BD JULES GUESDE, 93200 ST DENIS",93200
SG SOCIETE GENERALE,"53 BD VICTOR HUGO, 93400 ST OUEN SUR SEINE",93400
SG SOCIETE GENERALE,"6 PL GASTON BUSSIERE, 93270 SEVRAN",93270
SG SOCIETE GENERALE,"168 BD ANATOLE FRANCE, 93200 ST DENIS",93200
SG SOCIETE GENERALE,"17 AV FRANCOIS MITTERRAND, 93200 ST DENIS",93200
SG SOCIETE GENERALE,"6 RUE CARNOT, 93240 STAINS",93240
SG SOCIETE GENERALE,"16 AV PASTEUR, 93290 TREMBLAY EN FRANCE",93290
SG SOCIETE GENERALE,"22 AV DES NATIONS, 93420 VILLEPINTE",93420
